ID,Language,Form,Cognate Set,Concept,Source
868,Mayangna,a:dika,c,THIS,Constenla Umaña 2005
869,Ulua,a:ka,c,THIS,Constenla Umaña 2005
870,Mískito,nãhã,b,THIS,Constenla Umaña 2005
871,Pech,ĩ́,a,THIS,Constenla Umaña 2005
872,Rama,niŋ,ch,THIS,Constenla Umaña 2005
873,Maléku Jaíka,ni:,ch,THIS,Constenla Umaña 2005
874,Boruca,uéʔ,d,THIS,Constenla Umaña 2005
875,Bribri,ɪ̌ʔ,a,THIS,Constenla Umaña 2005
876,Cabécar,hí,a,THIS,Constenla Umaña 2005
877,Teribe,hũ,e,THIS,Constenla Umaña 2005
878,Ngäbere,ne,b,THIS,Constenla Umaña 2005
879,Boe,ai,,THIS,Constenla Umaña 2005
880,Dorasque,,,THIS,Constenla Umaña 2005
881,San Blas Kuna,we,d,THIS,Constenla Umaña 2005
882,Cogui,'hale,,THIS,Constenla Umaña 2005
883,Ika,'ema,a,THIS,Constenla Umaña 2005
884,Damana,ima,a,THIS,Constenla Umaña 2005
885,Chimila,naʔna,b,THIS,Constenla Umaña 2005
886,Chibcha,sisɨ,ch,THIS,Constenla Umaña 2005
887,Central Tunebo,'uʃa,e,THIS,Constenla Umaña 2005
888,Barí,inabãi,a,THIS,Constenla Umaña 2005
889,Lenca-Salvador,ʃila,a,FLOWER,Constenla Umaña 2005
890,Lenca-Honduras,suna,a,FLOWER,Constenla Umaña 2005
891,Cacaopera,bas,,FLOWER,Constenla Umaña 2005
892,Mayangna,pulu,b,FLOWER,Constenla Umaña 2005
893,Ulua,pulu,b,FLOWER,Constenla Umaña 2005
894,Mískito,taŋni,,FLOWER,Constenla Umaña 2005
895,Pech,ãwhá,,FLOWER,Constenla Umaña 2005
896,Rama,uɾuk,,FLOWER,Constenla Umaña 2005
897,Maléku Jaíka,ɬu:tu,a,FLOWER,Constenla Umaña 2005
898,Boruca,sɾùt,a,FLOWER,Constenla Umaña 2005
899,Bribri,duká,c,FLOWER,Constenla Umaña 2005
900,Cabécar,uʊ́dkuà,c,FLOWER,Constenla Umaña 2005
901,Teribe,kʰólòŋ,,FLOWER,Constenla Umaña 2005
902,Ngäbere,blɯ,b,FLOWER,Constenla Umaña 2005
903,Boruca,hɾa,,FLOWER,Constenla Umaña 2005
904,Dorasque,shii,,FLOWER,Constenla Umaña 2005
905,San Blas Kuna,tuttu,a,FLOWER,Constenla Umaña 2005
906,Cogui,'humʃi,,FLOWER,Constenla Umaña 2005
907,Ika,tin'sana,,FLOWER,Constenla Umaña 2005
908,Damana,ʃoma,ch,FLOWER,Constenla Umaña 2005
909,Chimila,'kusaŋgɾa,,FLOWER,Constenla Umaña 2005
910,Chibcha,uβa,,FLOWER,Constenla Umaña 2005
911,Central Tunebo,'suwa,,FLOWER,Constenla Umaña 2005
912,Barí,sũdũ,a,FLOWER,Constenla Umaña 2005
913,Lenca-Salvador,ts'ana,a,COLD,Constenla Umaña 2005
914,Lenca-Honduras,miti,,COLD,Constenla Umaña 2005
915,Cacaopera,tusni,,COLD,Constenla Umaña 2005
916,Mayangna,saŋni,a,COLD,Constenla Umaña 2005
917,Ulua,ripka,,COLD,Constenla Umaña 2005
918,Mískito,kahula,,COLD,Constenla Umaña 2005
919,Pech,sã̀jwá,a,COLD,Constenla Umaña 2005
920,Rama,saima,a,COLD,Constenla Umaña 2005
921,Maléku Jaíka,tʃitʃi:xa,a,COLD,Constenla Umaña 2005
922,Boruca,sèxká,a,COLD,Constenla Umaña 2005
923,Bribri,sẽ̂ssẽ̌,a,COLD,Constenla Umaña 2005
924,Cabécar,tsḗ,a,COLD,Constenla Umaña 2005
925,Teribe,séntè,a,COLD,Constenla Umaña 2005
926,Ngäbere,tibo,a,COLD,Constenla Umaña 2005
927,Boruca,skeke,a,COLD,Constenla Umaña 2005
928,Dorasque,saiga,a,COLD,Constenla Umaña 2005
929,San Blas Kuna,tiopikwa,,COLD,Constenla Umaña 2005
930,Cogui,ʃu'izala,,COLD,Constenla Umaña 2005
931,Ika,kɨ kawa,,COLD,Constenla Umaña 2005
932,Damana,se,a,COLD,Constenla Umaña 2005
933,Chimila,sa:hnihka:,a,COLD,Constenla Umaña 2005
934,Chibcha,nɨko,,COLD,Constenla Umaña 2005
935,Central Tunebo,'seroa,a,COLD,Constenla Umaña 2005
936,Barí,te:,a,COLD,Constenla Umaña 2005
937,Lenca-Salvador,ik'aN,a,FIRE,Constenla Umaña 2005
938,Lenca-Honduras,juka,a,FIRE,Constenla Umaña 2005
939,Cacaopera,lawali,,FIRE,Constenla Umaña 2005
940,Mayangna,kuh,b,FIRE,Constenla Umaña 2005
941,Ulua,kuh,b,FIRE,Constenla Umaña 2005
942,Mískito,pawta,c,FIRE,Constenla Umaña 2005
943,Pech,tã̀jwã́,,FIRE,Constenla Umaña 2005
944,Rama,abuŋ,,FIRE,Constenla Umaña 2005
945,Maléku Jaíka,kue:,b,FIRE,Constenla Umaña 2005
946,Boruca,dʒìkɾá,ch,FIRE,Constenla Umaña 2005
947,Bribri,bʊ̌uʊ̀,c,FIRE,Constenla Umaña 2005
948,Cabécar,dʒʊkʊ́,a,FIRE,Constenla Umaña 2005
949,Teribe,iʊ̀k,a,FIRE,Constenla Umaña 2005
950,Ngäbere,ɲukwɔ,a,FIRE,Constenla Umaña 2005
951,Boruca,hita,ch,FIRE,Constenla Umaña 2005
952,Dorasque,kebú,ch,FIRE,Constenla Umaña 2005
953,San Blas Kuna,so:,d,FIRE,Constenla Umaña 2005
954,Cogui,gauk'sei,d,FIRE,Constenla Umaña 2005
955,Ika,gei,ch,FIRE,Constenla Umaña 2005
956,Damana,gie,ch,FIRE,Constenla Umaña 2005
957,Chimila,pɾi:mu,,FIRE,Constenla Umaña 2005
958,Chibcha,ɣata,ch,FIRE,Constenla Umaña 2005
959,Central Tunebo,'oka,d,FIRE,Constenla Umaña 2005
960,Barí,kane,,FIRE,Constenla Umaña 2005
961,Lenca-Salvador,maʃ,a,HIT,Constenla Umaña 2005
962,Lenca-Honduras,imas,a,HIT,Constenla Umaña 2005
963,Cacaopera,du,,HIT,Constenla Umaña 2005
964,Mayangna,bau,b,HIT,Constenla Umaña 2005
965,Ulua,bau,b,HIT,Constenla Umaña 2005
966,Mískito,pruk,,HIT,Constenla Umaña 2005
967,Pech,màs,a,HIT,Constenla Umaña 2005
968,Rama,kaŋ,,HIT,Constenla Umaña 2005
969,Maléku Jaíka,koro:,,HIT,Constenla Umaña 2005
970,Boruca,báxt,c,HIT,Constenla Umaña 2005
971,Bribri,tɪ,ch,HIT,Constenla Umaña 2005
972,Cabécar,tɪ,ch,HIT,Constenla Umaña 2005
973,Teribe,ʃpók,,HIT,Constenla Umaña 2005
974,Ngäbere,met,c,HIT,Constenla Umaña 2005
975,Boruca,bate,c,HIT,Constenla Umaña 2005
976,Dorasque,,,HIT,Constenla Umaña 2005
977,San Blas Kuna,saɾsoke,d,HIT,Constenla Umaña 2005
978,Cogui,'muʃ,e,HIT,Constenla Umaña 2005
979,Ika,agu'pəss,f,HIT,Constenla Umaña 2005
980,Damana,'paʃ,f,HIT,Constenla Umaña 2005
981,Chimila,ha: sagɾi,,HIT,Constenla Umaña 2005
982,Chibcha,ɣɨi,d,HIT,Constenla Umaña 2005
983,Central Tunebo,bu'ki,e,HIT,Constenla Umaña 2005
984,Barí,da,,HIT,Constenla Umaña 2005
985,Lenca-Salvador,puka,a,BIG,Constenla Umaña 2005
986,Lenca-Honduras,puki,a,BIG,Constenla Umaña 2005
987,Cacaopera,bajaka,b,BIG,Constenla Umaña 2005
988,Mayangna,nuhni,,BIG,Constenla Umaña 2005
989,Ulua,sikka,,BIG,Constenla Umaña 2005
990,Mískito,ta:ɾa,c,BIG,Constenla Umaña 2005
991,Pech,àʔká,,BIG,Constenla Umaña 2005
992,Rama,ta:ɾa,c,BIG,Constenla Umaña 2005
993,Maléku Jaíka,ni:kaŋe:,,BIG,Constenla Umaña 2005
994,Boruca,kɾíʔ,ch,BIG,Constenla Umaña 2005
995,Bribri,bɪ̌diè,,BIG,Constenla Umaña 2005
996,Cabécar,tã́ĩ́,d,BIG,Constenla Umaña 2005
997,Teribe,kɪ́s,,BIG,Constenla Umaña 2005
998,Ngäbere,kɾi,ch,BIG,Constenla Umaña 2005
999,Boruca,kweɾi,e,BIG,Constenla Umaña 2005
1000,Dorasque,óci,,BIG,Constenla Umaña 2005
1001,San Blas Kuna,tumma,,BIG,Constenla Umaña 2005
1002,Cogui,a'tema,d,BIG,Constenla Umaña 2005
1003,Ika,a'wənʔ kawa,,BIG,Constenla Umaña 2005
1004,Damana,aiku'ia,,BIG,Constenla Umaña 2005
1005,Chimila,ku'e:ɾi'tuʔ,e,BIG,Constenla Umaña 2005
1006,Chibcha,kuhuma,f,BIG,Constenla Umaña 2005
1007,Central Tunebo,'kumakɾo,f,BIG,Constenla Umaña 2005
1008,Barí,ba,,BIG,Constenla Umaña 2005
1009,Lenca-Salvador,ts'its'a,,WORM,Constenla Umaña 2005
1010,Lenca-Honduras,suɾu,,WORM,Constenla Umaña 2005
1011,Cacaopera,bil,a,WORM,Constenla Umaña 2005
1012,Mayangna,ba:bil,a,WORM,Constenla Umaña 2005
1013,Ulua,bil,a,WORM,Constenla Umaña 2005
1014,Mískito,liwa,,WORM,Constenla Umaña 2005
1015,Pech,wíʔ,b,WORM,Constenla Umaña 2005
1016,Rama,bi:ɾu,a,WORM,Constenla Umaña 2005
1017,Maléku Jaíka,kara:ki,,WORM,Constenla Umaña 2005
1018,Boruca,dʒíŋ,c,WORM,Constenla Umaña 2005
1019,Bribri,ɪ̃̂,c,WORM,Constenla Umaña 2005
1020,Cabécar,hĩ́,c,WORM,Constenla Umaña 2005
1021,Teribe,ʃtó,,WORM,Constenla Umaña 2005
1022,Ngäbere,ŋĩ,c,WORM,Constenla Umaña 2005
1023,Boruca,gwi,b,WORM,Constenla Umaña 2005
1024,Dorasque,kisi,c,WORM,Constenla Umaña 2005
1025,San Blas Kuna,nusu,,WORM,Constenla Umaña 2005
1026,Cogui,ʒi,c,WORM,Constenla Umaña 2005
1027,Ika,zi,c,WORM,Constenla Umaña 2005
1028,Damana,di,c,WORM,Constenla Umaña 2005
1029,Chimila,'bɾuuʔ,a,WORM,Constenla Umaña 2005
1030,Chibcha,tsina,c,WORM,Constenla Umaña 2005
1031,Central Tunebo,ɾim'ja,,WORM,Constenla Umaña 2005
1032,Barí,iʃanaba,c,WORM,Constenla Umaña 2005
1033,Lenca-Salvador,ʃakini,,TALK,Constenla Umaña 2005
1034,Lenca-Honduras,mol,,TALK,Constenla Umaña 2005
1035,Cacaopera,piswa,,TALK,Constenla Umaña 2005
1036,Mayangna,jul,a,TALK,Constenla Umaña 2005
1037,Ulua,julbau,a,TALK,Constenla Umaña 2005
1038,Mískito,ajs,,TALK,Constenla Umaña 2005
1039,Pech,kapáʃ,,TALK,Constenla Umaña 2005
1040,Rama,baltiŋ,,TALK,Constenla Umaña 2005
1041,Maléku Jaíka,ɬai:ki,b,TALK,Constenla Umaña 2005
1042,Boruca,tèk,b,TALK,Constenla Umaña 2005
1043,Bribri,ut,c,TALK,Constenla Umaña 2005
1044,Cabécar,utɪ,c,TALK,Constenla Umaña 2005
1045,Teribe,thẽɺẽ́,,TALK,Constenla Umaña 2005
1046,Ngäbere,blit,,TALK,Constenla Umaña 2005
1047,Boruca,geɾule,,TALK,Constenla Umaña 2005
1048,Dorasque,set,b,TALK,Constenla Umaña 2005
1049,San Blas Kuna,sunmakke,c,TALK,Constenla Umaña 2005
1050,Cogui,'neʃ,,TALK,Constenla Umaña 2005
1051,Ika,asei,b,TALK,Constenla Umaña 2005
1052,Damana,ashé,b,TALK,Constenla Umaña 2005
1053,Chimila,ta:ɾaŋ,,TALK,Constenla Umaña 2005
1054,Chibcha,kuβu,,TALK,Constenla Umaña 2005
1055,Central Tunebo,te'w̃inɾo,,TALK,Constenla Umaña 2005
1056,Barí,ana,,TALK,Constenla Umaña 2005
1057,Lenca-Salvador,peleh,a,SISTER,Constenla Umaña 2005
1058,Lenca-Honduras,pela,a,SISTER,Constenla Umaña 2005
1059,Cacaopera,tʃa,,SISTER,Constenla Umaña 2005
1060,Mayangna,ami,b,SISTER,Constenla Umaña 2005
1061,Ulua,ami:,b,SISTER,Constenla Umaña 2005
1062,Mískito,lakra,,SISTER,Constenla Umaña 2005
1063,Pech,pàʔʃà,,SISTER,Constenla Umaña 2005
1064,Rama,sa:suk,,SISTER,Constenla Umaña 2005
1065,Maléku Jaíka,ɬaka:tʃuma:,,SISTER,Constenla Umaña 2005
1066,Boruca,suíʔ,,SISTER,Constenla Umaña 2005
1067,Bribri,kutá,c,SISTER,Constenla Umaña 2005
1068,Cabécar,kutà,c,SISTER,Constenla Umaña 2005
1069,Teribe,dóɾ,,SISTER,Constenla Umaña 2005
1070,Ngäbere,ŋuãĩ,,SISTER,Constenla Umaña 2005
1071,Boruca,da'baia,,SISTER,Constenla Umaña 2005
1072,Dorasque,bek,,SISTER,Constenla Umaña 2005
1073,San Blas Kuna,puna,,SISTER,Constenla Umaña 2005
1074,Cogui,'nu,,SISTER,Constenla Umaña 2005
1075,Ika,'zati,,SISTER,Constenla Umaña 2005
1076,Damana,'asi,,SISTER,Constenla Umaña 2005
1077,Chimila,dʒe:,,SISTER,Constenla Umaña 2005
1078,Chibcha,ɣuahatsa,,SISTER,Constenla Umaña 2005
1079,Central Tunebo,ʃi'ta,c,SISTER,Constenla Umaña 2005
1080,Barí,sí,c,SISTER,Constenla Umaña 2005
1081,Lenca-Salvador,muts'u,a,LIVER,Constenla Umaña 2005
1082,Lenca-Honduras,musu,a,LIVER,Constenla Umaña 2005
1083,Cacaopera,kawa,b,LIVER,Constenla Umaña 2005
1084,Mayangna,isiŋ,,LIVER,Constenla Umaña 2005
1085,Ulua,asuŋ,,LIVER,Constenla Umaña 2005
1086,Mískito,awja,,LIVER,Constenla Umaña 2005
1087,Pech,hɾá,,LIVER,Constenla Umaña 2005
1088,Rama,psa,c,LIVER,Constenla Umaña 2005
1089,Maléku Jaíka,kua:ki,b,LIVER,Constenla Umaña 2005
1090,Boruca,kóʔk,b,LIVER,Constenla Umaña 2005
1091,Bribri,ẽ̂d,ch,LIVER,Constenla Umaña 2005
1092,Cabécar,hẽ̂d,ch,LIVER,Constenla Umaña 2005
1093,Teribe,uò,,LIVER,Constenla Umaña 2005
1094,Ngäbere,mɔtɔ,c,LIVER,Constenla Umaña 2005
1095,Boruca,takwa,d,LIVER,Constenla Umaña 2005
1096,Dorasque,hókoa,,LIVER,Constenla Umaña 2005
1097,San Blas Kuna,pi:na,c,LIVER,Constenla Umaña 2005
1098,Cogui,a'bita,c,LIVER,Constenla Umaña 2005
1099,Ika,'higəɾu,,LIVER,Constenla Umaña 2005
1100,Damana,anʒbita,c,LIVER,Constenla Umaña 2005
1101,Chimila,'ka:wiʔ,b,LIVER,Constenla Umaña 2005
1102,Chibcha,tɨhɨβa,d,LIVER,Constenla Umaña 2005
1103,Central Tunebo,'tanuba,d,LIVER,Constenla Umaña 2005
1104,Barí,a:bĩba,,LIVER,Constenla Umaña 2005
1105,Lenca-Salvador,aw,a,LEAF,Constenla Umaña 2005
1106,Lenca-Honduras,wala,b,LEAF,Constenla Umaña 2005
1107,Cacaopera,taka,,LEAF,Constenla Umaña 2005
1108,Mayangna,bas,c,LEAF,Constenla Umaña 2005
1109,Ulua,bas,c,LEAF,Constenla Umaña 2005
1110,Mískito,waha,b,LEAF,Constenla Umaña 2005
1111,Pech,á,ch,LEAF,Constenla Umaña 2005
1112,Rama,ka:,ch,LEAF,Constenla Umaña 2005
1113,Maléku Jaíka,au:ki,a,LEAF,Constenla Umaña 2005
1114,Boruca,ká,ch,LEAF,Constenla Umaña 2005
1115,Bribri,kʊ́,ch,LEAF,Constenla Umaña 2005
1116,Cabécar,kʊ́,ch,LEAF,Constenla Umaña 2005
1117,Teribe,kʰɺógà,,LEAF,Constenla Umaña 2005
1118,Ngäbere,kʔ,ch,LEAF,Constenla Umaña 2005
1119,Boruca,ga,ch,LEAF,Constenla Umaña 2005
1120,Dorasque,kaláʔka,ch,LEAF,Constenla Umaña 2005
1121,San Blas Kuna,ka:,ch,LEAF,Constenla Umaña 2005
1122,Cogui,kai,ch,LEAF,Constenla Umaña 2005
1123,Ika,'atʃɨ,d,LEAF,Constenla Umaña 2005
1124,Damana,ata,d,LEAF,Constenla Umaña 2005
1125,Chimila,ka:,ch,LEAF,Constenla Umaña 2005
1126,Chibcha,kɨe,ch,LEAF,Constenla Umaña 2005
1127,Central Tunebo,'kaja,ch,LEAF,Constenla Umaña 2005
1128,Barí,ka,ch,LEAF,Constenla Umaña 2005
1129,Lenca-Salvador,iʃku,,MAN,Constenla Umaña 2005
1130,Lenca-Honduras,misu,a,MAN,Constenla Umaña 2005
1131,Cacaopera,misil,a,MAN,Constenla Umaña 2005
1132,Mayangna,al,b,MAN,Constenla Umaña 2005
1133,Ulua,al,b,MAN,Constenla Umaña 2005
1134,Mískito,wajtna,,MAN,Constenla Umaña 2005
1135,Pech,àɾwã́,b,MAN,Constenla Umaña 2005
1136,Rama,nki:kna,,MAN,Constenla Umaña 2005
1137,Maléku Jaíka,otʃa:paka:,,MAN,Constenla Umaña 2005
1138,Boruca,kóŋróxk,,MAN,Constenla Umaña 2005
1139,Bribri,uɪ̂b,,MAN,Constenla Umaña 2005
1140,Cabécar,hadʒɪ́uàʔ,,MAN,Constenla Umaña 2005
1141,Teribe,dòbén,,MAN,Constenla Umaña 2005
1142,Ngäbere,bɾaɾe,c,MAN,Constenla Umaña 2005
1143,Boruca,blále,c,MAN,Constenla Umaña 2005
1144,Dorasque,taro,,MAN,Constenla Umaña 2005
1145,San Blas Kuna,matʃeɾet,,MAN,Constenla Umaña 2005
1146,Cogui,si'gi,,MAN,Constenla Umaña 2005
1147,Ika,'tʃeiɾwa,ch,MAN,Constenla Umaña 2005
1148,Damana,te'ɾua,ch,MAN,Constenla Umaña 2005
1149,Chimila,sa:wiɾi,ch,MAN,Constenla Umaña 2005
1150,Chibcha,tʲa,ch,MAN,Constenla Umaña 2005
1151,Central Tunebo,'seɾa,ch,MAN,Constenla Umaña 2005
1152,Barí,na,,MAN,Constenla Umaña 2005
1153,Lenca-Salvador,ts'eh,a,BONE,Constenla Umaña 2005
1154,Lenca-Honduras,sek,a,BONE,Constenla Umaña 2005
1155,Cacaopera,naman,,BONE,Constenla Umaña 2005
1156,Mayangna,wakal,b,BONE,Constenla Umaña 2005
1157,Ulua,wakal,b,BONE,Constenla Umaña 2005
1158,Mískito,dusa,,BONE,Constenla Umaña 2005
1159,Pech,pájã̀,,BONE,Constenla Umaña 2005
1160,Rama,a:luk,,BONE,Constenla Umaña 2005
1161,Maléku Jaíka,ko:ɾa,c,BONE,Constenla Umaña 2005
1162,Boruca,dètkɾá,,BONE,Constenla Umaña 2005
1163,Bribri,ditʃǎʔ,ch,BONE,Constenla Umaña 2005
1164,Cabécar,tʃitʃʔá,ch,BONE,Constenla Umaña 2005
1165,Teribe,dobógɺo,,BONE,Constenla Umaña 2005
1166,Ngäbere,kɾɔ,c,BONE,Constenla Umaña 2005
1167,Boruca,gda,c,BONE,Constenla Umaña 2005
1168,Dorasque,koné,,BONE,Constenla Umaña 2005
1169,San Blas Kuna,kala,c,BONE,Constenla Umaña 2005
1170,Cogui,zalakala,,BONE,Constenla Umaña 2005
1171,Ika,'wesu,,BONE,Constenla Umaña 2005
1172,Damana,kɨkɨɾa,,BONE,Constenla Umaña 2005
1173,Chimila,kɨ:kɾaʔ,,BONE,Constenla Umaña 2005
1174,Chibcha,kɨnɨ,c,BONE,Constenla Umaña 2005
1175,Central Tunebo,'kaɾaɾa,c,BONE,Constenla Umaña 2005
1176,Barí,kana,c,BONE,Constenla Umaña 2005
1177,Lenca-Salvador,mo,a,SMOKE,Constenla Umaña 2005
1178,Lenca-Honduras,po:ɾo,a,SMOKE,Constenla Umaña 2005
1179,Cacaopera,kiba,b,SMOKE,Constenla Umaña 2005
1180,Mayangna,wajau,c,SMOKE,Constenla Umaña 2005
1181,Ulua,waju,c,SMOKE,Constenla Umaña 2005
1182,Mískito,kjasma,b,SMOKE,Constenla Umaña 2005
1183,Pech,wãs,c,SMOKE,Constenla Umaña 2005
1184,Rama,sawa,ch,SMOKE,Constenla Umaña 2005
1185,Maléku Jaíka,uxu:ma,,SMOKE,Constenla Umaña 2005
1186,Boruca,dʒìdʒà,,SMOKE,Constenla Umaña 2005
1187,Bribri,ʃkaɺã̂,d,SMOKE,Constenla Umaña 2005
1188,Cabécar,ʃkaɺã́,d,SMOKE,Constenla Umaña 2005
1189,Teribe,ɲó,e,SMOKE,Constenla Umaña 2005
1190,Ngäbere,ŋɯbɯ,,SMOKE,Constenla Umaña 2005
1191,Boruca,hiã́,,SMOKE,Constenla Umaña 2005
1192,Dorasque,kébusa,ch,SMOKE,Constenla Umaña 2005
1193,San Blas Kuna,wa:,c,SMOKE,Constenla Umaña 2005
1194,Cogui,ihia,e,SMOKE,Constenla Umaña 2005
1195,Ika,'zatʃa,,SMOKE,Constenla Umaña 2005
1196,Damana,suta,,SMOKE,Constenla Umaña 2005
1197,Chimila,'iŋŋaʔ,e,SMOKE,Constenla Umaña 2005
1198,Chibcha,ie,e,SMOKE,Constenla Umaña 2005
1199,Central Tunebo,'ijaɾa,e,SMOKE,Constenla Umaña 2005
1200,Barí,inakba,e,SMOKE,Constenla Umaña 2005
1201,Lenca-Salvador,kota,,LARGE,Constenla Umaña 2005
1202,Lenca-Honduras,kasi,,LARGE,Constenla Umaña 2005
1203,Cacaopera,wisnika,,LARGE,Constenla Umaña 2005
1204,Mayangna,najni,,LARGE,Constenla Umaña 2005
1205,Ulua,juhka,,LARGE,Constenla Umaña 2005
1206,Mískito,jaɾi,,LARGE,Constenla Umaña 2005
1207,Pech,bà:jkti,,LARGE,Constenla Umaña 2005
1208,Rama,suma,,LARGE,Constenla Umaña 2005
1209,Maléku Jaíka,ɬaɾa:tene:,,LARGE,Constenla Umaña 2005
1210,Boruca,biògát,,LARGE,Constenla Umaña 2005
1211,Bribri,bitsĩ̌,a,LARGE,Constenla Umaña 2005
1212,Cabécar,batsĩ́,a,LARGE,Constenla Umaña 2005
1213,Teribe,kʰɺòtáɾeŋ,,LARGE,Constenla Umaña 2005
1214,Ngäbere,ŋa,b,LARGE,Constenla Umaña 2005
1215,Boruca,heike,,LARGE,Constenla Umaña 2005
1216,Dorasque,kiágal,,LARGE,Constenla Umaña 2005
1217,San Blas Kuna,suiti,,LARGE,Constenla Umaña 2005
1218,Cogui,'ueĩʒiluka,,LARGE,Constenla Umaña 2005
1219,Ika,'gaɾi,b,LARGE,Constenla Umaña 2005
1220,Damana,ɾiinukka,,LARGE,Constenla Umaña 2005
1221,Chimila,gaɾihŋa:te,b,LARGE,Constenla Umaña 2005
1222,Chibcha,ɣahasio,b,LARGE,Constenla Umaña 2005
1223,Central Tunebo,ena'ɾa,,LARGE,Constenla Umaña 2005
1224,Barí,akbakɨ,,LARGE,Constenla Umaña 2005
1225,Lenca-Salvador,ts'ih,a,CLEAN,Constenla Umaña 2005
1226,Lenca-Honduras,sak,a,CLEAN,Constenla Umaña 2005
1227,Cacaopera,saka,a,CLEAN,Constenla Umaña 2005
1228,Mayangna,suh,b,CLEAN,Constenla Umaña 2005
1229,Ulua,suh,b,CLEAN,Constenla Umaña 2005
1230,Mískito,tusk,,CLEAN,Constenla Umaña 2005
1231,Pech,súk,b,CLEAN,Constenla Umaña 2005
1232,Rama,suk,b,CLEAN,Constenla Umaña 2005
1233,Maléku Jaíka,ɬoki:,b,CLEAN,Constenla Umaña 2005
1234,Boruca,túxk,b,CLEAN,Constenla Umaña 2005
1235,Bribri,suk,b,CLEAN,Constenla Umaña 2005
1236,Cabécar,sku,b,CLEAN,Constenla Umaña 2005
1237,Teribe,kuóʃkuɪ̀,b,CLEAN,Constenla Umaña 2005
1238,Ngäbere,bɔtete,,CLEAN,Constenla Umaña 2005
1239,Boruca,glige,,CLEAN,Constenla Umaña 2005
1240,Dorasque,,,CLEAN,Constenla Umaña 2005
1241,San Blas Kuna,enukke,b,CLEAN,Constenla Umaña 2005
1242,Cogui,ihi'ʒihiĩ,,CLEAN,Constenla Umaña 2005
1243,Ika,aʔ'tʃukkw,b,CLEAN,Constenla Umaña 2005
1244,Damana,atukw,b,CLEAN,Constenla Umaña 2005
1245,Chimila,'tukkua,b,CLEAN,Constenla Umaña 2005
1246,Chibcha,tʲuhu,b,CLEAN,Constenla Umaña 2005
1247,Central Tunebo,su'kwi,b,CLEAN,Constenla Umaña 2005
1248,Barí,duk,b,CLEAN,Constenla Umaña 2005
1249,Lenca-Salvador,kota,a,FAR AWAY,Constenla Umaña 2005
1250,Lenca-Honduras,kota,a,FAR AWAY,Constenla Umaña 2005
1251,Cacaopera,ataptika,,FAR AWAY,Constenla Umaña 2005
1252,Mayangna,nai,b,FAR AWAY,Constenla Umaña 2005
1253,Ulua,bai,,FAR AWAY,Constenla Umaña 2005
1254,Mískito,lajhura,b,FAR AWAY,Constenla Umaña 2005
1255,Pech,kã:ɾà,e,FAR AWAY,Constenla Umaña 2005
1256,Rama,naɾbik,,FAR AWAY,Constenla Umaña 2005
1257,Maléku Jaíka,kartau:ni,c,FAR AWAY,Constenla Umaña 2005
1258,Boruca,káuìk,,FAR AWAY,Constenla Umaña 2005
1259,Bribri,kã̂bĩ̌,ch,FAR AWAY,Constenla Umaña 2005
1260,Cabécar,kãbĩ̂ĩ̂,ch,FAR AWAY,Constenla Umaña 2005
1261,Teribe,ɸòla,,FAR AWAY,Constenla Umaña 2005
1262,Ngäbere,mẽte,d,FAR AWAY,Constenla Umaña 2005
1263,Boruca,bate,d,FAR AWAY,Constenla Umaña 2005
1264,Dorasque,héppe,,FAR AWAY,Constenla Umaña 2005
1265,San Blas Kuna,panna,d,FAR AWAY,Constenla Umaña 2005
1266,Cogui,male'zenka,e,FAR AWAY,Constenla Umaña 2005
1267,Ika,'peikɨ,,FAR AWAY,Constenla Umaña 2005
1268,Damana,ma'ɾaʒanekka,e,FAR AWAY,Constenla Umaña 2005
1269,Chimila,matta,d,FAR AWAY,Constenla Umaña 2005
1270,Chibcha,ahuen maɣue,,FAR AWAY,Constenla Umaña 2005
1271,Central Tunebo,bi'ɾa,,FAR AWAY,Constenla Umaña 2005
1272,Barí,ittikkiɲa,,FAR AWAY,Constenla Umaña 2005
1273,Lenca-Salvador,nepal,a,TONGUE,Constenla Umaña 2005
1274,Lenca-Honduras,nepel,a,TONGUE,Constenla Umaña 2005
1275,Cacaopera,tum,b,TONGUE,Constenla Umaña 2005
1276,Mayangna,tu,b,TONGUE,Constenla Umaña 2005
1277,Ulua,tu,b,TONGUE,Constenla Umaña 2005
1278,Mískito,twisa,b,TONGUE,Constenla Umaña 2005
1279,Pech,ùwà,c,TONGUE,Constenla Umaña 2005
1280,Rama,ku:p,e,TONGUE,Constenla Umaña 2005
1281,Maléku Jaíka,ku:,e,TONGUE,Constenla Umaña 2005
1282,Boruca,kuátkuà,c,TONGUE,Constenla Umaña 2005
1283,Bribri,kǔʔ,e,TONGUE,Constenla Umaña 2005
1284,Cabécar,kú,c,TONGUE,Constenla Umaña 2005
1285,Teribe,kʰèɾkuó,,TONGUE,Constenla Umaña 2005
1286,Ngäbere,tɯdɾɔ,b,TONGUE,Constenla Umaña 2005
1287,Boruca,kwiɾa,e,TONGUE,Constenla Umaña 2005
1288,Dorasque,kuba,e,TONGUE,Constenla Umaña 2005
1289,San Blas Kuna,kwapinni,e,TONGUE,Constenla Umaña 2005
1290,Cogui,hu'angala,,TONGUE,Constenla Umaña 2005
